Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bangladesh,BGD,4274893910,4817580182,5081413345,5319458349,5386054613,5906636554,6439687606,7253575403,7483685483,8471006092,8992721807,8751842837,6288245866,8067027104,12459282561,19395903916,10083163547,9632469659,13299358553,15585961410,18114645161,19762945710,18087000000,17155798869,19670160944,21613230769,21160234384,23781404932,25638749373,26825240347,30128776344,30957444767,31708863730,33166530060,33768661427,37939752960,40666015641,42318798538,44091754148,45694072379,47124925462,46987842847,47571130071,51913661485,56560744012,60277560976,61901116736,68415421373,79554350678,89359767442,100357022444,111879121731
Barbados,BRB,87383114,93216432,96949756,109083059,108383061,114683045,123608023,137103730,137300000,154400000,181500000,204010329,233383640,284759098,340492904,402158286,435871862,495116619,552876225,670312672,860438453,946949725,989409792,1050464828,1144931026,1198180246,1315567053,1448665028,1540893883,1703922715,1710435931,1687167462,1588499968,1641226964,1726942730,1859145793,1982896516,2192363133,2364540277,2468403493,2558850048,2554187134,2476105824,2694879718,2824000000,3005000000,3190900000,3409200000,3670215313,3595210913,4109500000,3685000000
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961918859,45275711996,60763483146,49209523810,55211849614,55132080402
Belgium,BEL,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26381124884,29458668479,36756500047,47162657848,55351036497,64878745421,70248275973,81831567541,100014140031,114899650370,125285531605,103455231205,90974923323,86123021068,82334988808,85218196227,118557903305,147575956007,160323578328,162222137363,202832423615,207948632758,231923859990,221986453439,241903369307,284519704433,275796742671,249766576455,255599022005,254503515875,232672747374,232485906040,252795031056,311689616253,361683211960,377350395463,399965627160,459618853659,507379060314,473404617396,468585526316,513661111111
Belize,BLZ,28072505,29965035,31857563,33750091,36194611,40069932,44405596,47379309,44910181,47305390,53233534,59207318,66062499,78343559,103216372,118066302,96905829,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550016,314900000,363150016,413049984,444720726,518143678,559759653,580760211,620031772,641271333,654198121,688872473,732607994,831750000,871840755,932676403,988199088,1056303706,1114874608,1213104430,1276751656,1363500000,1349000000,1398500000,1447500000
Benin,BEN,226195578,235668221,236434954,253927697,269819006,289908680,302925236,306221953,326323106,330748244,333627713,335073028,410331856,504376074,554654861,676870139,698408261,750049780,928843468,1186231019,1405251844,1291120191,1267778671,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965331,1986437798,1695315186,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,2488892429,2359122303,2499269391,2807657386,3557229702,4050869968,4358015993,4705087452,5506275948,6633561835,6585134688,6558416322,7294900431
Bermuda,BMU,84466654,89249987,94149986,96366652,107566651,114339049,134173374,155102985,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414229000,5895048000,6109928000,5806378000,5764584000,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,135653290,146391643,148934332,165585938,169264987,172217501,201375723,253182457,283855836,275949888,299787275,250045841,250794359,235239569,270801565,303053462,316420860,365964500,376955086,419035811,439158233,476360697,537050133,622026107,702682018,818869146,897672086,1196048417,1257480561,1264686357,1585048127,1732186153
Bolivia,BOL,563110052,612518907,669722540,721142960,812543074,908874536,994044553,1084059818,908874536,964615703,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606678,5594118401,5422656262,6169481549,5377277408,3958338768,4323623593,4597615614,4715978706,4867582765,5343259489,5643864513,5734703516,5981218963,6715164450,7396952018,7925733799,8497499276,8285061591,8397858206,8141513227,7905485150,8082396474,8773451753,9549196302,11451297466,13120517443,16675015771,17339992191,19649724656,23948670618
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802465,1866572993,2786045392,3671816538,4116699576,4685729743,5505984456,5748990555,6651226179,8370020196,10022840635,10948051122,12400102623,15280615815,18543289395,17082889410,16647485125,18088238053
